73|시골보쌈앤감자옹심이||경기도 성남시 분당구 구미동 204번지 4호 2층|9||0|0|0|1000|30|10000
74|김밥천국||경기도 성남시 분당구 구미동 205번지 1호 오성프라자 117호|3||0|0|0|1000|30|10000
75|이맹순생바지락칼국수||경기도 성남시 분당구 구미동 205번지 1호 오성프라자 2층  206호|1||0|0|0|1000|30|8000
76|교촌치킨 무지개점||경기도 성남시 분당구 구미동 212번지 2호 무지개마을 분산상가 가동 1층103호|4||0|0|0|1000|30|10000
77|피카츄분식||경기도 성남시 분당구 구미동 220번지 1호 무지개마을 분산상가 103호|3||0|0|0|1000|30|10000
78|치킨마루구미주공4단지점||경기도 성남시 분당구 구미동 220번지 1호 분산상가 1층 104호|4||0|0|0|1000|30|10000
79|바로쿡 치킨||경기도 성남시 분당구 구미동 221번지 무지개마을 청구상가 지하1층107호|4||0|0|0|1000|30|10000
80|깐부치킨 구미동점||경기도 성남시 분당구 구미동 226번지 1호 건우프라자 지하1층 B02호|4||0|0|0|1000|30|10000
81|모니김밥||경기도 성남시 분당구 구미동 23번지 1호 분당프라자  105호|3||0|0|0|1000|30|10000
82|비빔밥과잔치국수||경기도 성남시 분당구 구미동 23번지 1호 분당프라자  1층   118호|1||0|0|0|1000|30|8000
83|옹심이네팥칼국수||경기도 성남시 분당구 구미동 23번지 1호 분당프라자 208호|1||0|0|0|1000|30|8000
84|피자알볼로미금오리점||경기도 성남시 분당구 구미동 34번지 1호 1층|5||0|0|0|1000|30|10000
85|개성옹고집족발||경기도 성남시 분당구 구미동 34번지 4호 1층 일부(102호)|9||0|0|0|1000|30|10000
86|을지로골뱅이와 분식||경기도 성남시 분당구 구미동 35번지 7호|3||0|0|0|1000|30|10000
87|옛시골왕솥뚜껑삼겹살||경기도 성남시 분당구 구미동 40번지 5호 1층|1||0|0|0|1000|30|8000
88|미금족발||경기도 성남시 분당구 구미동 46번지 1호 1층 일부|9||0|0|0|1000|30|10000
89|교촌치킨||경기도 성남시 분당구 구미동 47번지 1호 1층|4||0|0|0|1000|30|10000
90|(주)먹보한우광주점(분당지점)||경기도 성남시 분당구 구미동 49번지 1층 일부|1||0|0|0|1000|30|8000
91|차가네청한우||경기도 성남시 분당구 구미동 50번지 4호 지상1층|1||0|0|0|1000|30|8000
92|BHC치킨 분당미금점||경기도 성남시 분당구 구미동 53번지 2호 1층 일부(103호)|4||0|0|0|1000|30|10000
93|서울감자탕||경기도 성남시 분당구 구미동 55번지 1호 1층|1||0|0|0|1000|30|8000
94|멕시칸치킨||경기도 성남시 분당구 구미동 61번지 2호 1층전부|4||0|0|0|1000|30|10000
95|치킨더홈||경기도 성남시 분당구 구미동 63번지 근린상가동 지하11호|4||0|0|0|1000|30|10000
96|미스터피자 미금점||경기도 성남시 분당구 구미동 8번지 2호 MD프라자 2층 201호 일부|5||0|0|0|1000|30|10000
97|쌀통닭||경기도 성남시 분당구 구미동 9번지 1호 분당 엠코헤리츠 1층 121호|4||0|0|0|1000|30|10000
98|다래김밥||경기도 성남시 분당구 궁내동 205번지 20호 1층일부|3||0|0|0|1000|30|10000
99|김옥자24시감자탕||경기도 성남시 분당구 궁내동 281번지 9호 1층 일부|1||0|0|0|1000|30|8000
100|순우리한우||경기도 성남시 분당구 금곡동 106번지 2호 A동 1층 전부|1||0|0|0|1000|30|8000
101|또봉이통닭 미금점||경기도 성남시 분당구 금곡동 125번지 청솔마을공무원아파트 상가동 1층 103호|4||0|0|0|1000|30|10000
102|신통치킨||경기도 성남시 분당구 금곡동 147번지 현대아리온 1층 01호|4||0|0|0|1000|30|10000
103|가장 맛있는 족발||경기도 성남시 분당구 금곡동 147번지 현대아리온오피스텔 1층 35,36호|9||0|0|0|1000|30|10000
104|제일치킨||경기도 성남시 분당구 금곡동 147번지 현대아리온오피스텔 28호,29호,48호|4||0|0|0|1000|30|10000
105|장인족발608||경기도 성남시 분당구 금곡동 150번지 분당미금파크 115-4호|9||0|0|0|1000|30|10000
106|짱앤떡 떡볶이||경기도 성남시 분당구 금곡동 152번지 동양프라자 103호|3||0|0|0|1000|30|10000
107|치킨만세||경기도 성남시 분당구 금곡동 152번지 동양플라자 1층110호|4||0|0|0|1000|30|10000
108|신전떡볶이(미금점)||경기도 성남시 분당구 금곡동 153번지 선 플라자 109-2|3||0|0|0|1000|30|10000
109|투다리미금점||경기도 성남시 분당구 금곡동 155번지 우방코아 107호|21||0|0|0|2000|30|12000
110|즉석떡볶이 뽂||경기도 성남시 분당구 금곡동 158번지 1층 114호일부|3||0|0|0|1000|30|10000
111|김밥명가||경기도 성남시 분당구 금곡동 158번지 미도프라자 104호|3||0|0|0|1000|30|10000
112|영풍치킨||경기도 성남시 분당구 금곡동 161번지 천사의 도시 1차 127,128호|4||0|0|0|1000|30|10000
113|미금퓨전포차||경기도 성남시 분당구 금곡동 161번지 천사의도시 오피스텔 1층 126호|21||0|0|0|2000|30|12000
114|동대문엽기떡볶이미금점||경기도 성남시 분당구 금곡동 161번지 천사의도시오피스텔 2층 근222호|3||0|0|0|1000|30|10000
115|피자스쿨미금점||경기도 성남시 분당구 금곡동 161번지 천사의도시오피스텔 근112-1호|5||0|0|0|1000|30|10000
116|도토베르구이치킨||경기도 성남시 분당구 금곡동 161번지 천사의도시오피스텔 근139호|4||0|0|0|1000|30|10000
117|홍콩반점0410미금역점||경기도 성남시 분당구 금곡동 161번지 천사의도시오피스텔 근201호|2||0|0|0|1000|30|10000
118|깐부치킨 미금역점||경기도 성남시 분당구 금곡동 166번지 이코노샤르망 1층 118호,119호|4||0|0|0|1000|30|10000
119|행운목삼겹살||경기도 성남시 분당구 금곡동 171번지 골든벨리오피스텔 115호|1||0|0|0|1000|30|8000
120|머구리횟집||경기도 성남시 분당구 금곡동 172번지 씨티밸리  1층  105호, 106호|7||0|0|0|1000|30|10000
121|청솔분식||경기도 성남시 분당구 금곡동 176번지|3||0|0|0|1000|30|10000
122|엽이네김밥||경기도 성남시 분당구 금곡동 181번지 한라상가 지하1층 02호|3||0|0|0|1000|30|10000
123|초심한우정육식당||경기도 성남시 분당구 금곡동 202번지 쌍용아데나렉스 1층 114호, 115호, 116호 일부, 117호|1||0|0|0|1000|30|8000
124|김밥나라 금곡점||경기도 성남시 분당구 금곡동 206번지 대덕프라자2 108호|3||0|0|0|1000|30|10000
125|장비빔국수||경기도 성남시 분당구 금곡동 206번지 대덕프라자2. 2층204,205호|1||0|0|0|1000|30|8000
126|뚝심한우 분당점||경기도 성남시 분당구 금곡동 376번지 5호 외 5필지 1층|1||0|0|0|1000|30|8000
127|구좌리얼크니손칼국수||경기도 성남시 분당구 금곡동 56번지 3호 1층|1||0|0|0|1000|30|8000
128|고추장삼겹살||경기도 성남시 분당구 동원동 51번지 ,52-2|1||0|0|0|1000|30|8000
129|원조쌈밥집 분당 동원점||경기도 성남시 분당구 동원동 59번지 6호 외1필지 1층|1||0|0|0|1000|30|8000
130|또봉이통닭백현점||경기도 성남시 분당구 백현동 529번지 판교역 SK HUB 지하1층 B동 B125호|4||0|0|0|1000|30|10000
131|통큰할매순대국||경기도 성남시 분당구 백현동 529번지 판교역 SK HUB A동 지2층 B207호|1||0|0|0|1000|30|8000
132|클레어수제치킨||경기도 성남시 분당구 백현동 529번지 판교역 SK HUB C동 1층 R103호|4||0|0|0|1000|30|10000
133|피노피자 판교점||경기도 성남시 분당구 백현동 529번지 판교역SK HUB A동 지하2층 B209호|5||0|0|0|1000|30|10000
134|코코이찌방야 판교알파돔시티점||경기도 성남시 분당구 백현동 530번지 알파리움 타워2동 2층 207호, 208호|1||0|0|0|1000|30|8000
135|김밥공방||경기도 성남시 분당구 백현동 530번지 알파리움 타워2동 2층 224호|3||0|0|0|1000|30|10000
136|만족오향족발||경기도 성남시 분당구 백현동 531번지 알파리움 타워1동 2층 209호, 210호, 211호|9||0|0|0|1000|30|10000
137|라파스타(이탈리)||경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부|8||0|0|0|1000|30|10000
138|피자(이탈리)||경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부|5||0|0|0|1000|30|10000
139|전주선비빔||경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부|1||0|0|0|1000|30|8000
140|(주)신승반점||경기도 성남시 분당구 백현동 541번지 현대백화점 판교복합몰 지하1층 일부|2||0|0|0|1000|30|10000
141|치킨더샵||경기도 성남시 분당구 백현동 545번지 가상가동 1층 103호|4||0|0|0|1000|30|10000
142|떡볶이창고 백현점||경기도 성남시 분당구 백현동 545번지 백현마을 가상가동 103호반칸|3||0|0|0|1000|30|10000
143|신통치킨||경기도 성남시 분당구 백현동 546번지 가상가동 103호 일부|4||0|0|0|1000|30|10000
